"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:AT1G01140",439.202775683451,-1.70623669892143,0.454163610055713,-3.75687673152,0.000172047189861419,0.00138154539443162
"gene:AT1G01200",14.1110803383539,-7.31356241903358,2.35032158535514,-3.11172839691573,0.00185995534608206,0.0107800121955397
"gene:AT1G01225",13.1708483995286,-7.22501408109366,2.21351692575538,-3.26404284377814,0.0010983455517159,0.00690022066080103
"gene:AT1G01570",15.3097271497617,-5.25265937554434,1.95958315336367,-2.68049833278472,0.00735126306633175,0.0340956895182538
"gene:AT1G01770",164.428353890015,-1.71512297254002,0.482770769143922,-3.55266532723466,0.000381349299270869,0.00277617674446509
"gene:AT1G02290",56.3129414604125,-1.97500320572403,0.780357685342707,-2.53089479711688,0.0113771967003537,0.0488159344824806
"gene:AT1G02640",280.078243231796,-1.62234895378818,0.472890267369579,-3.43070912161586,0.000602005753900166,0.00407863666000366
"gene:AT1G02705",81.765392913372,-2.50297492432639,0.895951065788835,-2.79365137215688,0.00521166309802839,0.0257635144398222
"gene:AT1G03120",10.1960112361372,-6.85403970201312,2.32678799223082,-2.94570873018894,0.00322215663012958,0.0171895983416669
"gene:AT1G03160",283.489474890562,-1.03217407307564,0.404159114538577,-2.55388047911293,0.0106529817443641,0.046213340684138
"gene:AT1G03165",14.3082223996149,-7.3368717974719,2.06483425185898,-3.55324975400155,0.00038050302633213,0.00277211288828192
"gene:AT1G03410",109.694431483514,-2.24661756595159,0.725243236995632,-3.09774355877947,0.00195000086725586,0.011224167671334
"gene:AT1G03540",27.1244961399691,-3.50161427133629,1.19191527965172,-2.93780466708966,0.00330545213267903,0.0175757520955057
"gene:AT1G03820",151.201295078647,-1.98291200229928,0.775706604685077,-2.55626546212573,0.0105802368810785,0.0459702933379228
"gene:AT1G03870",203.62854478786,-1.37835206885063,0.546520589117395,-2.52204966527722,0.0116673234048792,0.0498054204695308
"gene:AT1G04310",132.733089334929,-1.36920293021073,0.534927927599134,-2.55960262975237,0.0104791909033781,0.0456033159638756
"gene:AT1G04550",136.576416841011,-1.5877766470463,0.544087778763695,-2.91823619095825,0.0035201759966623,0.0185126632742503
"gene:AT1G04640",90.0608894346421,-2.56313175931475,0.673398913591114,-3.8062606095487,0.000141083720225066,0.00115817085484852
"gene:AT1G04710",62.4180001776724,-2.99111923870381,1.02128423261328,-2.92878235381163,0.00340292607369648,0.0179746215879555
"gene:AT1G04760",23.3339170000694,-4.19305705424175,1.32033919819986,-3.17574230921761,0.00149453647176073,0.00897633033925399
"gene:AT1G04770",62.3911764006615,-3.11938081585788,0.968075203231134,-3.22225050847946,0.00127187880006667,0.0078515468709696
"gene:AT1G05140",264.686096191858,-1.53326867403431,0.467324790115329,-3.28094872445333,0.00103458550621951,0.00655487222637036
"gene:AT1G05320",123.605049310269,-1.96841547274388,0.539316946291524,-3.6498305611926,0.000262413347495586,0.0019987859567056
"gene:AT1G05470",285.289307240481,-1.17792434171776,0.360389442004527,-3.26847627712403,0.00108128241494904,0.00680815306605795
